detailed_EN_categ;macro_EN_categ
agro_industry_and_commerce;other
air_conditioning;home
art;culture_and_gifts
arts_and_craftmanship;culture_and_gifts
audio;tech
auto;auto
baby;supplies_accessories
bed_bath_table;home
books_general_interest;culture_and_gifts
books_imported;culture_and_gifts
books_technical;culture_and_gifts
cds_dvds_musicals;culture_and_gifts
christmas_supplies;supplies_accessories
cine_photo;culture_and_gifts
computers;tech
computers_accessories;tech
consoles_games;tech
construction_tools_construction;tools
construction_tools_lights;tools
construction_tools_safety;tools
cool_stuff;culture_and_gifts
costruction_tools_garden;tools
costruction_tools_tools;tools
diapers_and_hygiene;supplies_accessories
drinks;food_drink
dvds_blu_ray;tech
electronics;tech
fashio_female_clothing;cloth
fashion_bags_accessories;supplies_accessories
fashion_childrens_clothes;cloth
fashion_male_clothing;cloth
fashion_shoes;cloth
fashion_sport;cloth
fashion_underwear_beach;cloth
fixed_telephony;tech
flowers;home
food;food_drink
food_drink;food_drink
furniture_bedroom;home
furniture_decor;home
furniture_living_room;home
furniture_mattress_and_upholstery;home
garden_tools;tools
health_beauty;health_beauty
home_appliances;home
home_appliances_2;home
home_comfort_2;home
home_confort;home
home_construction;tools
housewares;supplies_accessories
industry_commerce_and_business;other
kitchen_dining_laundry_garden_furniture;home
la_cuisine;home
luggage_accessories;supplies_accessories
market_place;other
music;culture_and_gifts
musical_instruments;culture_and_gifts
office_furniture;home
party_supplies;supplies_accessories
perfumery;health_beauty
pet_shop;other
security_and_services;other
signaling_and_security;other
small_appliances;home
small_appliances_home_oven_and_coffee;home
sports_leisure;supplies_accessories
stationery;supplies_accessories
tablets_printing_image;tech
telephony;tech
toys;culture_and_gifts
watches_gifts;culture_and_gifts
nan;other
other;other
